@relation InstanceResultListener

@attribute Key_Dataset {iris,soybean}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes,weka.classifiers.lazy.IB1IC_facor_threshold2}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {48055541465867954,5995231201785697655,-6152184127304895851}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

iris,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20190218.0331,120,30,10,20,0,33.333333,66.666667,0,0,0.444444,0.471405,100,100,47.548875,47.548875,0,1.584963,1.584963,0,0,0,0,1,10,1,20,0,0,0,0,0.333333,1,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.111111,0.333333,0.166667,0.5,0,0,0,0,1273,9984,3774,?
iris,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20190218.0331,120,30,10,20,0,33.333333,66.666667,0,0,0.444444,0.471405,100,100,47.548875,47.548875,0,1.584963,1.584963,0,0,0,0,1,10,1,20,0,0,0,0,0.333333,1,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.111111,0.333333,0.166667,0.5,0,0,0,0,1273,9984,3774,?
iris,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20190218.0331,120,30,10,20,0,33.333333,66.666667,0,0,0.444444,0.471405,100,100,47.548875,47.548875,0,1.584963,1.584963,0,0,0,0,1,10,1,20,0,0,0,0,0.333333,1,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.111111,0.333333,0.166667,0.5,0.001,0,0,0,1273,9984,3774,?
iris,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20190218.0331,120,30,10,20,0,33.333333,66.666667,0,0,0.444444,0.471405,100,100,47.548875,47.548875,0,1.584963,1.584963,0,0,0,0,1,10,1,20,0,0,0,0,0.333333,1,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.111111,0.333333,0.166667,0.5,0,0,0,0,1273,9984,3774,?
iris,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20190218.0331,120,30,10,20,0,33.333333,66.666667,0,0,0.444444,0.471405,100,100,47.548875,47.548875,0,1.584963,1.584963,0,0,0,0,1,10,1,20,0,0,0,0,0.333333,1,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.111111,0.333333,0.166667,0.5,0,0,0,0,1273,9984,3774,?
iris,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20190218.0331,120,30,10,20,0,33.333333,66.666667,0,0,0.444444,0.471405,100,100,47.548875,47.548875,0,1.584963,1.584963,0,0,0,0,1,10,1,20,0,0,0,0,0.333333,1,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.111111,0.333333,0.166667,0.5,0,0,0,0,1273,9984,3774,?
iris,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20190218.0331,120,30,10,20,0,33.333333,66.666667,0,0,0.444444,0.471405,100,100,47.548875,47.548875,0,1.584963,1.584963,0,0,0,0,1,10,1,20,0,0,0,0,0.333333,1,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.111111,0.333333,0.166667,0.5,0,0,0,0,1273,9984,3774,?
iris,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20190218.0331,120,30,10,20,0,33.333333,66.666667,0,0,0.444444,0.471405,100,100,47.548875,47.548875,0,1.584963,1.584963,0,0,0,0,1,10,1,20,0,0,0,0,0.333333,1,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.111111,0.333333,0.166667,0.5,0,0,0,0,1273,9984,3774,?
iris,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20190218.0331,120,30,10,20,0,33.333333,66.666667,0,0,0.444444,0.471405,100,100,47.548875,47.548875,0,1.584963,1.584963,0,0,0,0,1,10,1,20,0,0,0,0,0.333333,1,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.111111,0.333333,0.166667,0.5,0.001,0,0,0,1273,9984,3774,?
